fecha,tienda,producto,turno,unidades_vendidas,precio_unitario,venta_total
2024-01-01 00:00:00,Tienda_03,Cigarros,Tarde,3,9.08,27.240000000000002
2024-01-01 01:00:00,Tienda_04,Comida Rápida,Mañana,7,11.74,82.18
2024-01-01 02:00:00,Tienda_01,Abarrotes,Noche,5,2.77,13.85
2024-01-01 03:00:00,Tienda_03,Cigarros,Mañana,5,5.48,27.400000000000002
2024-01-01 04:00:00,Tienda_03,Bebidas,Mañana,6,5.64,33.839999999999996
2024-01-01 05:00:00,Tienda_04,Comida Rápida,Mañana,3,6.44,19.32
2024-01-01 06:00:00,Tienda_01,Abarrotes,Mañana,9,8.46,76.14000000000001
2024-01-01 07:00:00,Tienda_01,Bebidas,Noche,8,7.38,59.04
2024-01-01 08:00:00,Tienda_03,Bebidas,Noche,1,2.68,2.68
2024-01-01 09:00:00,Tienda_02,Bebidas,Tarde,3,6.41,19.23
2024-01-01 10:00:00,Tienda_03,Bebidas,Mañana,5,8.38,41.900000000000006
2024-01-01 11:00:00,Tienda_03,Cigarros,Mañana,6,7.3,43.8
2024-01-01 12:00:00,Tienda_03,Cigarros,Tarde,8,10.78,86.24
2024-01-01 13:00:00,Tienda_03,Cigarros,Mañana,3,6.29,18.87
2024-01-01 14:00:00,Tienda_04,Abarrotes,Tarde,2,2.62,5.24
2024-01-01 15:00:00,Tienda_01,Abarrotes,Noche,4,5.21,20.84
2024-01-01 16:00:00,Tienda_04,Abarrotes,Tarde,6,3.79,22.740000000000002
2024-01-01 17:00:00,Tienda_04,Snacks,Mañana,6,4.88,29.28
2024-01-01 18:00:00,Tienda_04,Abarrotes,Tarde,4,5.94,23.76
2024-01-01 19:00:00,Tienda_03,Cigarros,Noche,7,8.93,62.51
2024-01-01 20:00:00,Tienda_02,Cigarros,Mañana,3,5.58,16.740000000000002
2024-01-01 21:00:00,Tienda_01,Snacks,Noche,5,10.9,54.5
2024-01-01 22:00:00,Tienda_02,Snacks,Noche,2,5.35,10.7
2024-01-01 23:00:00,Tienda_04,Abarrotes,Tarde,7,3.8,26.599999999999998
2024-01-02 00:00:00,Tienda_04,Comida Rápida,Noche,5,4.1,20.5
2024-01-02 01:00:00,Tienda_02,Snacks,Mañana,4,11.38,45.52
2024-01-02 02:00:00,Tienda_02,Bebidas,Noche,4,6.82,27.28
